currency,detail_date,closing_price,24_hour_open,24h_high_usd,24h_low_usd
ETH,8/8/20,382.7311751829,395.3629341207,398.7223770995,364.6081633244
ETH,8/9/20,390.808826242,379.8457064085,393.4506925812,376.5714583997
ETH,8/10/20,388.3353162731,397.2580927816,400.2300285176,384.4175907289
ETH,8/11/20,395.3996937457,390.504577658,399.8476916933,386.07178865
ETH,8/12/20,375.7376315945,395.9138296672,398.1078858485,367.4094423468
ETH,8/13/20,385.6144268142,379.2203395385,389.6743609879,366.396122481
ETH,8/14/20,426.5197717722,387.3415773534,431.5745452131,377.3046128062
ETH,8/15/20,439.4651311644,424.881045254,444.6363674875,418.1696471136
ETH,8/16/20,432.5808730567,438.9316946123,443.1990258271,428.5819232373
ETH,8/17/20,432.9948222845,432.6224965686,437.2198304115,413.3227680751
ETH,8/18/20,439.1354267206,433.820497493,446.4511175885,420.8027613118
ETH,8/19/20,426.6580775702,431.3676954553,434.2467909,415.1707999102
ETH,8/20/20,406.7773731283,422.400274926,427.0039349853,394.2827799572
ETH,8/21/20,414.892313138,407.9056876456,419.5986160193,403.0389145344
ETH,8/22/20,392.9193709266,416.327704322,419.0840095168,386.304653236
ETH,8/23/20,393.7887017486,388.2547095119,395.3278973507,380.3753115549
ETH,8/24/20,392.2001782169,395.7003591,397.2778679559,384.0666779103
ETH,8/25/20,406.0046385673,391.0885828063,408.8267150008,388.0029419871
ETH,8/26/20,383.7475333924,408.0597611801,409.2408014043,370.4092629318
ETH,8/27/20,386.442205636,383.4401407168,393.423672538,378.0925844811
ETH,8/28/20,381.5294806967,385.9954626054,397.3093057151,372.434146578
ETH,8/29/20,391.9147663738,383.6367344765,398.0637661476,380.2925820805
ETH,8/30/20,402.90311604,395.6468275833,406.0306685852,392.6472847163
ETH,8/31/20,423.0770923093,399.0898440034,428.0834931275,398.8473637463
ETH,9/1/20,435.2801714861,429.0059962,439.3442035102,419.2185815085
ETH,9/2/20,480.5552222401,434.1475041025,488.8938492235,429.8748398733
ETH,9/3/20,441.8792972944,475.41436486,481.3955001103,421.8353335877
ETH,9/4/20,399.5571540928,440.3346759471,451.0626435787,392.6973368629
ETH,9/5/20,391.8715284748,382.5405618575,401.1209305854,372.7130798487
ETH,9/6/20,329.0848011726,386.0594302961,394.8616499131,312.1050554298
ETH,9/7/20,349.4605531884,335.4103155017,359.4572170257,317.236665121
ETH,9/8/20,354.3037632168,353.0927521017,357.5864908827,325.1598125177
LINK,3/24/20,2.2312102945,1.9644070435,2.3132411207,1.9454056122
LINK,3/25/20,2.3328513303,2.231227529,2.3798940964,2.2070910937
LINK,3/26/20,2.2634083486,2.3328994475,2.3560703344,2.1919126907
LINK,3/27/20,2.269479995,2.2630898949,2.303841422,2.2143065422
LINK,3/28/20,2.2534648764,2.2694568003,2.3683103502,2.2326328027
LINK,3/29/20,2.1289044363,2.253471006,2.2556764104,2.0388526294
LINK,3/30/20,2.0257339978,2.1291319757,2.1586687516,2.0105984595
LINK,3/31/20,2.1529810423,2.025691052,2.2081410026,2.0032245892
LINK,4/1/20,2.2628613616,2.1524495934,2.3056155932,2.1162793296
LINK,4/2/20,2.2513602427,2.2631013704,2.2931825772,2.147161195
LINK,4/3/20,2.3243984628,2.2514712357,2.4525252548,2.2497697285
LINK,4/4/20,2.314253422,2.3244245121,2.3871770584,2.2693695957
LINK,4/5/20,2.3010199485,2.3142788673,2.346259313,2.2605680939
LINK,4/6/20,2.2709624671,2.3021472045,2.3264858876,2.2471541758
LINK,4/7/20,2.4830772119,2.4378063342,2.5260460297,2.4280741712
LINK,4/8/20,2.7362532985,2.4831150457,2.9108971697,2.4817179911
LINK,4/9/20,3.2428959761,2.7362622647,3.2790590908,2.6923102968
LINK,4/10/20,3.357759426,3.2457782971,3.4774330715,3.1255021141
LINK,4/11/20,3.2242024066,3.3578025282,3.3582809764,2.9499003148
LINK,4/12/20,3.2805537505,3.2230320386,3.4430842122,3.0704940806
LINK,4/13/20,3.4870418371,3.2798464615,3.6541838223,3.175941224
LINK,4/14/20,3.4050245379,3.4893915786,3.5300857648,3.2084648951
LINK,4/15/20,3.2678274268,3.4048705158,3.4503154433,3.2121472791
LINK,4/16/20,3.1956553488,3.2678205229,3.3126066811,3.1149159553
LINK,4/17/20,3.4854596011,3.196295107,3.4885504502,2.9796176039
LINK,4/18/20,3.4603842343,3.4869110145,3.5592035867,3.3888619079
LINK,4/19/20,3.7959654071,3.4603773449,3.8144440507,3.4521538936
LINK,4/20/20,3.6787870438,3.7959338527,3.8362309819,3.5177750134
LINK,4/21/20,3.49367353,3.6787877131,3.7959944932,3.3800434704
LINK,4/22/20,3.5212542104,3.4936854894,3.5776917894,3.4004414109
LINK,4/23/20,3.6502566511,3.5212548062,3.6982320023,3.4401448402
